QID,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
qGEN1,10.34,12.81,76.85,12.61,15.95,13.27,8.81,10.8,13.9,15.2,9.45
qGEN2,6.73,8.1,85.18,13.04,16.93,11.75,10.41,12.07,13.54,12.8,9.47
qGEN3,6.33,7.54,86.14,12.61,15.95,13.27,8.81,10.8,13.9,15.2,9.45
qGEN4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN5,8.02,8.96,83.02,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
qGEN6,7.15,6.8,86.05,12.61,15.95,13.27,8.81,10.8,13.9,15.2,9.45
qGEN7,14.11,18.44,67.45,19.15,10.58,17.98,10.06,9.94,9.67,8.31,14.32
qGEN8,15.43,31.46,53.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN9,15.83,13.18,70.98,12.24,13.24,12.32,10.58,14.5,11.05,13.53,12.53
qGEN10,12.06,10.68,77.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN11,12.94,16.34,70.73,11.44,12.85,12.38,11.67,13.31,10.24,12.89,15.23
qGEN12,13.94,11.84,74.22,10.04,11.8,13.68,10.49,14.6,11.8,13.29,14.31
qGEN13,3.85,1.74,94.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN14,13.27,11.28,75.45,11.77,12.1,11.63,12.28,13.14,12.49,12.21,14.39
qGEN15,13.13,15.51,71.36,12.69,15.25,13.31,9.92,11.29,13.79,13.17,10.57
qGEN16,10.18,11.61,78.21,12.69,15.25,13.31,9.92,11.29,13.79,13.17,10.57
qGEN17,11.63,13.27,75.1,12.69,15.25,13.31,9.92,11.29,13.79,13.17,10.57
qGEN18,9.35,10.46,80.19,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
qGEN19,9.35,10.46,80.19,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
qGEN20,7.01,7.84,85.14,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
qGEN21,14.66,12.02,73.32,14.15,11.13,14.0,11.96,13.23,12.43,11.79,11.32
qGEN22,10.69,10.53,78.78,11.92,12.49,10.51,12.35,15.3,12.93,12.63,11.86
qGEN23,8.09,9.63,82.28,11.56,12.96,10.47,11.85,15.71,13.7,12.87,10.89
qGEN24,8.56,8.67,82.77,12.93,13.34,11.57,12.11,13.39,13.53,11.87,11.26
qGEN25,17.62,17.27,65.11,11.92,12.49,10.51,12.35,15.3,12.93,12.63,11.86
qGEN26,17.25,16.46,66.28,13.93,13.69,13.18,7.89,13.05,13.35,12.22,12.67
qGEN27,6.99,10.52,82.5,10.04,11.8,13.68,10.49,14.6,11.8,13.29,14.31
qGEN28,35.68,17.78,46.54,11.06,11.05,11.59,12.27,14.85,13.36,13.03,12.8
qGEN29,6.56,5.59,87.84,12.68,12.83,12.88,9.86,13.5,11.66,13.7,12.88
qGEN30,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN31,18.37,11.08,70.56,12.01,15.23,12.01,9.12,12.3,12.09,15.5,11.75
qGEN32,4.32,9.88,85.81,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
qGEN33,22.57,19.54,57.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN34,12.87,12.53,74.6,15.8,13.46,14.17,8.38,10.43,12.41,13.83,11.51
qGEN35,18.65,24.69,56.66,11.26,11.95,9.81,13.08,13.42,15.68,13.09,11.7
qGEN36,21.28,14.6,64.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN37,13.21,14.01,72.78,10.5,10.44,13.38,8.72,12.93,11.27,16.14,16.62
qGEN38,19.92,17.72,62.37,11.83,12.1,12.59,10.3,17.1,10.95,9.32,15.81
qGEN39,19.59,16.67,63.74,11.12,12.98,10.29,11.37,16.33,11.55,12.68,13.68
